iata_code,airport_name,city,hotel_name,price_per_night,rating,reviews,hotel_class,amenities,image_url
DEL,Indira Gandhi Airport,New Delhi,"Holiday Inn New Delhi Int'L Airport, an IHG Hotel",,4.7,30037.0,5-star hotel,Free Wi‑Fi | Free parking | Air conditioning | Fitness center | Spa | Bar | Restaurant | Room service | Full‑service laundry | Accessible | Kid-friendly,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHKyRc6B-sJ9nc_1nJJx0NJ0s2fu0LH73fScSzV2LE4y8plvJ0J0KhednM5g6zH81gqw4Z86IUuLTUmrGjSQ81zZUtQwEwX4_YyLxEMOkjBuPfgEdepGUgyTjDzS-CPAkHr7Nc=s287-w287-h192-n-k-no-v1
DEL,Indira Gandhi Airport,New Delhi,Centaur Hotel New Delhi Airport,,3.3,2790.0,5-star hotel,Free breakfast | Free Wi‑Fi | Free parking | Outdoor pool | Hot tub | Air conditioning | Fitness center | Bar | Restaurant | Room service | Full‑service laundry | Accessible | Business center | Kid-friendly | Smoke-free property,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHSTJFycyU-ymFofdP4cxTvTspULFfPg0LmgRZCP2TlDXlklI9pS4t1FYnBoPCCgghBbUpEUTB2vybn9iomDVMGyx1_WJ-A2JqT1TUOJZki3SoedduW6dMvKpMs4LxG7cbaNq22=s287-w287-h192-n-k-no-v1
DMM,King Fahd Airport,Dammam,فندق هيلتون المطار,,5.0,6.0,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH_Orbu0g3oXN2-p5s0piBfIHnt0Nlzi42G0G22Q4jHCAtJfiPRsC9csqSjdPAY5ac5Hnj93rp2whX2Iv75aK31F8qf6lXdZIm9SBeEsuf57qQihnkrrg9rBQSxYDtWny9w8j5zSA=s287-w287-h192-n-k-no-v1
DMM,King Fahd Airport,Dammam,Waves Resort,,3.9,173.0,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFB4F1mmlYwRZnzdSJLdG12BfHsa1nau5Q1TEG8LkjAmOWilYE_3ALCbw83rCWO_CAet0oAwHZhcZZFUev2AK8Z2FnsYFkNuRJs-hbHZK5UPQFBV33KVoUuljMF37isQ_JJ77K0iQCpubl-=s287-w287-h192-n-k-no-v1
DMM,King Fahd Airport,Dammam,شاليهات اجواء الريف,,4.7,59.0,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGTJ6weVH1_M8ZNBJSi8wAWHmlfAr3jKAchKTcIXJguXZgjNInWBL-r4CthRXKGMnXMOuxrswkAeHWzEhdT_WHiE8lsiRD-Vesx5sw9y4ujquxGTUvkjbKUt_1brs1T7KW0lgHUyB5i54Q=s287-w287-h192-n-k-no-v1
DMM,King Fahd Airport,Dammam,منتجع ريتال,,4.6,445.0,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGLqEN4ZBYeJNpJVmzGrnxwXCRzSq8w71AAJiSOcvC9fR2tE38g1wdhOVhVl94DSbVYyVFCsC2vzohZv847xrr7N4j40YVqo5RiE4WnssPlED-BppTrH9m7GuH7JfBaZffdHJGm=s287-w287-h192-n-k-no-v1
DMM,King Fahd Airport,Dammam,شاليهات فلاورز قاردن,,4.1,116.0,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEwgwLaT2PcFpg5dZ36SVEHmGUG9g7_eK0dqQ0t9mGtgl_JfeZWcgnNZJgy58zjWbFrOBKcPYw1mnGILDbygwvXCzqRMuCWvrulcqUp3O52F5qJxI9wGI_15EusSAfSp8lJYP4fxQ=s287-w287-h192-n-k-no-v1
DMM,King Fahd Airport,Dammam,شاليهات راما,,3.4,243.0,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEU1LPTLFln_Wzjqq_btluKS4dEEjXWabf8ZZE8veya-n-N7S-GQY60sj-C2ibDTClO7y6MOa-eHOry3rTvCBxtqKrbykyN1ivgsMv9JhdBEDMsYuyiIWtsF_HkjAKdO7loaboA=s287-w287-h192-n-k-no-v1
DMM,King Fahd Airport,Dammam,Karam House,,3.6,170.0,2-star hotel,Free Wi‑Fi | Air conditioning | Kitchen in some rooms | Full‑service laundry | Kid-friendly,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGr-OUDP8TnUvB8MO0QP4sU-dPd8_x4maarF6OcfOGO9OoGSfcLuGgTMTgu-6WVoRxYKwkNoK_vpN0arG1NsYz8hj7_AZmWGNiTUtBOOLZxi_xlAjM1XbCT7p2UVTPG4R88B0cDsw=s287-w287-h192-n-k-no-v1
DMM,King Fahd Airport,Dammam,فيلا فيوتشر للايجار اليومي والاسبوعي والشهري,,3.0,2.0,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHhxPH4gz7jmhpN5XWv1s3ziHYXSfNChdWLsuTWQ-PWHxEFINSIsv7OZyIXP0e7JUA_RVPOQGG94Exyalsjq-DVG4Ur7XbOyUC-mvC5e9DfS7w6ZkkKa632DoXv0PnnUqTAkLGGV532xq41=s287-w287-h192-n-k-no-v1
DOH,Hamad Airport,Doha,Hyatt Regency Oryx Doha,,4.5,6587.0,5-star hotel,Free Wi‑Fi | Free parking | Outdoor pool | Hot tub | Air conditioning | Fitness center | Spa | Bar | Restaurant | Room service | Airport shuttle | Full‑service laundry | Accessible | Business center | Kid-friendly | Smoke-free property,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF0JfsKkKGAzi1lkiow9rpIOfA57Mn9SCX6dKT3rZ-nUuJXat9hEEK83QewDSwcxTYc93aeEgQjC2tfsawee18FCsOypRtKIRfIx4GUJcnrWCaDSQOlxi-nqj91PoWzIm6Jq_pNnvgU6eG_=s287-w287-h192-n-k-no-v1
DOH,Hamad Airport,Doha,Oryx Airport Hotel,,4.4,2966.0,4-star hotel,Free Wi‑Fi | Parking | Indoor pool | Hot tub | Air conditioning | Fitness center | Spa | Bar | Restaurant | Room service | Full‑service laundry | Accessible | Kid-friendly | Smoke-free property,https://lh3.googleusercontent.com/gps-cs-s/APNQkAECCMUT4lliMFMrAmK8A2K0RK-LmsQUz0-CRelFfw0_RPZ3xy8c2rfct2SIGbVewNimQ3pmr8dS9t74GF1lznbrVE9wAYxKpibMdhhIY5FDe-OcbQD4970DWVvXDc0aAaGdGDBo=s287-w287-h192-n-k-no-v1
DOH,Hamad Airport,Doha,DoubleTree by Hilton Doha - Old Town,,4.7,10585.0,5-star hotel,Free Wi‑Fi | Free parking | Outdoor pool | Hot tub | Air conditioning | Fitness center | Spa | Bar | Restaurant | Room service | Kitchen in some rooms | Full‑service laundry | Accessible | Business center,https://via.placeholder.com/400x300?text=No+Image+Found
DOH,Hamad Airport,Doha,Premier Inn Doha Airport Hotel,,4.7,5031.0,3-star hotel,Free Wi‑Fi | Free parking | Air conditioning | Restaurant | Room service | Accessible | Business center | Kid-friendly | Smoke-free property,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFEhE0iAtC996uZczLpoXr4DSMJ3RXyC2xW-4dmdI5zura_F3ULA_U_mEqbEz4NIvaSbItCBXCXWJT23zaVQNexjebB831BwcF-PdhVhuf63awb7el0XReEAZrbyqeKWw5LuRo=s287-w287-h192-n-k-no-v1
DOH,Hamad Airport,Doha,Hampton by Hilton Doha Old Town,,4.4,1383.0,3-star hotel,Free breakfast | Free Wi‑Fi | Free parking | Air conditioning | Pet-friendly | Fitness center | Restaurant | Airport shuttle | Full‑service laundry | Accessible | Business center | Kid-friendly | Smoke-free property,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH0MvH33EgibRwX2QARlBeqB0vi93wiz2aDvPetpgPoRz-5MDPDLfjo0c5lfy-_mdmE0UGj7M65VfzV8xTW9--glxddXQbPd73s9YA1gD8WFH2F2_ghRYzYgE7yPq4x-t5HR6ndcw=s287-w287-h192-n-k-no-v1
